[2023-10-15 01:15:49,349: INFO: main: Welcome to our custom log]
[2023-10-15 01:26:36,265: INFO: main: Welcome to our custom log]
[2023-10-15 11:27:53,611: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-15 11:27:53,619: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-15 11:27:53,621: INFO: common: Created directory at: artifacts]
[2023-10-15 11:27:53,623: INFO: common: Created directory at: artifacts/data_ingestion]
[2023-10-15 11:27:53,625: INFO: 3812226400: Downloading data from https://drive.google.com/file/d/1lQSleJtjX222_GugfMKaJPWYJ5zmB0qD/view?usp=sharing intp file artifacts/data/ingestion/data.zip]
[2023-10-15 11:29:32,502: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-15 11:29:32,504: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-15 11:29:32,505: INFO: common: Created directory at: artifacts]
[2023-10-15 11:29:32,506: INFO: common: Created directory at: artifacts/data_ingestion]
[2023-10-15 11:29:32,507: INFO: 3812226400: Downloading data from https://drive.google.com/file/d/1lQSleJtjX222_GugfMKaJPWYJ5zmB0qD/view?usp=sharing intp file artifacts/data_ingestion/data.zip]
[2023-10-15 11:29:38,785: INFO: 3812226400: Downloaded data from https://drive.google.com/file/d/1lQSleJtjX222_GugfMKaJPWYJ5zmB0qD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-15 11:42:50,533: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<<]
[2023-10-15 11:42:50,534: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-15 11:42:50,535: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-15 11:42:50,535: INFO: common: Created directory at: artifacts]
[2023-10-15 11:42:50,536: INFO: common: Created directory at: artifacts/data_ingestion]
[2023-10-15 11:42:50,537: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1lQSleJtjX222_GugfMKaJPWYJ5zmB0qD/view?usp=sharing intp file artifacts/data_ingestion/data.zip]
[2023-10-15 11:42:57,575: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1lQSleJtjX222_GugfMKaJPWYJ5zmB0qD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-15 11:42:58,403: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x===========x]
